date,geo,yhat,bic,rmse,mae,acf
2023-03-01,AT,151.49250046948333,-51.534088491365694,0.10276727627827888,0.06764508667609993,-0.14487883332145282
2023-04-01,AT,152.78500093896668,-51.534088491365694,0.10276727627827888,0.06764508667609993,-0.14487883332145282
2023-05-01,AT,154.07750140845002,-51.534088491365694,0.10276727627827888,0.06764508667609993,-0.14487883332145282
2023-06-01,AT,155.37000187793336,-51.534088491365694,0.10276727627827888,0.06764508667609993,-0.14487883332145282
2023-03-01,BE,193.4369397566789,-44.04790973528304,0.11302728516840137,0.07679064579593899,-0.10560275642324453
2023-04-01,BE,191.32009722846806,-44.04790973528304,0.11302728516840137,0.07679064579593899,-0.10560275642324453
2023-05-01,BE,189.42381790088544,-44.04790973528304,0.11302728516840137,0.07679064579593899,-0.10560275642324453
2023-06-01,BE,187.7251203169625,-44.04790973528304,0.11302728516840137,0.07679064579593899,-0.10560275642324453
2023-03-01,BG,174.9037563240048,-3.862183183731065,0.20277719633660324,0.12051896736924034,-0.14263469839658674
2023-04-01,BG,174.9037563240048,-3.862183183731065,0.20277719633660324,0.12051896736924034,-0.14263469839658674
2023-05-01,BG,174.9037563240048,-3.862183183731065,0.20277719633660324,0.12051896736924034,-0.14263469839658674
2023-06-01,BG,174.9037563240048,-3.862183183731065,0.20277719633660324,0.12051896736924034,-0.14263469839658674
2023-02-01,CY,141.63531876781815,-21.34954766072958,0.13137694252085408,0.09151967996238045,0.22624070924790785
2023-03-01,CY,145.56140789808424,-21.34954766072958,0.13137694252085408,0.09151967996238045,0.22624070924790785
2023-04-01,CY,147.8787878062753,-21.34954766072958,0.13137694252085408,0.09151967996238045,0.22624070924790785
2023-05-01,CY,152.31466460799294,-21.34954766072958,0.13137694252085408,0.09151967996238045,0.22624070924790785
2023-03-01,CZ,149.42173758405423,-37.55955953212593,0.12464579835538135,0.07237529339247241,-0.14457533087129704
2023-04-01,CZ,150.94347516810848,-37.55955953212593,0.12464579835538135,0.07237529339247241,-0.14457533087129704
2023-05-01,CZ,152.46521275216273,-37.55955953212593,0.12464579835538135,0.07237529339247241,-0.14457533087129704
2023-06-01,CZ,153.98695033621698,-37.55955953212593,0.12464579835538135,0.07237529339247241,-0.14457533087129704
2023-03-01,DE,157.0278984049082,-40.0970369591083,0.11332144822443771,0.0736478714276467,0.09788266899613306
2023-04-01,DE,158.9884415450261,-40.0970369591083,0.11332144822443771,0.0736478714276467,0.09788266899613306
2023-05-01,DE,160.84765620511098,-40.0970369591083,0.11332144822443771,0.0736478714276467,0.09788266899613306
2023-06-01,DE,162.36798860738486,-40.0970369591083,0.11332144822443771,0.0736478714276467,0.09788266899613306
2023-03-01,DK,192.87488855560272,-41.98143183355526,0.11664919035557696,0.08332743990598283,-0.06716449674038408
2023-04-01,DK,195.14560296675342,-41.98143183355526,0.11664919035557696,0.08332743990598283,-0.06716449674038408
2023-05-01,DK,197.4163173779041,-41.98143183355526,0.11664919035557696,0.08332743990598283,-0.06716449674038408
2023-06-01,DK,199.6870317890548,-41.98143183355526,0.11664919035557696,0.08332743990598283,-0.06716449674038408
2023-03-01,EE,177.47567567567563,-33.797215477478915,0.13716326301204385,0.09454336249050714,0.1032859204754459
2023-04-01,EE,179.3513513513513,-33.797215477478915,0.13716326301204385,0.09454336249050714,0.1032859204754459
2023-05-01,EE,181.2270270270269,-33.797215477478915,0.13716326301204385,0.09454336249050714,0.1032859204754459
2023-06-01,EE,183.10270270270257,-33.797215477478915,0.13716326301204385,0.09454336249050714,0.1032859204754459
2023-03-01,EL,144.8,-3.575109623944529,0.21666974345431536,0.14940762286209133,0.020186459619675648
2023-04-01,EL,144.8,-3.575109623944529,0.21666974345431536,0.14940762286209133,0.020186459619675648
2023-05-01,EL,144.8,-3.575109623944529,0.21666974345431536,0.14940762286209133,0.020186459619675648
2023-06-01,EL,144.8,-3.575109623944529,0.21666974345431536,0.14940762286209133,0.020186459619675648
2023-03-01,ES,156.32048170547066,-53.67751076578216,0.09910310241258802,0.0788053170850172,-0.012888896921689761
2023-04-01,ES,156.33841770562321,-53.67751076578216,0.09910310241258802,0.0788053170850172,-0.012888896921689761
2023-05-01,ES,156.35412441041564,-53.67751076578216,0.09910310241258802,0.0788053170850172,-0.012888896921689761
2023-06-01,ES,156.3678789026847,-53.67751076578216,0.09910310241258802,0.0788053170850172,-0.012888896921689761
2023-03-01,FI,143.0243243243243,-36.31258973188105,0.13257920432915196,0.0965433101501881,0.23771548907030918
2023-04-01,FI,144.04864864864862,-36.31258973188105,0.13257920432915196,0.0965433101501881,0.23771548907030918
2023-05-01,FI,145.07297297297296,-36.31258973188105,0.13257920432915196,0.0965433101501881,0.23771548907030918
2023-06-01,FI,146.09729729729727,-36.31258973188105,0.13257920432915196,0.0965433101501881,0.23771548907030918
2023-03-01,FR,151.6704265217225,-57.57653062048563,0.0870926605210531,0.06706837085461537,-0.06612071547888307
2023-04-01,FR,151.7554651731548,-57.57653062048563,0.0870926605210531,0.06706837085461537,-0.06612071547888307
2023-05-01,FR,151.63357429755456,-57.57653062048563,0.0870926605210531,0.06706837085461537,-0.06612071547888307
