date,country_code,yhat,h,bic,aicc,rmse,mae,acf
2022-12-01,AT,7560086.718493828,1,150.79838428373233,131.21736053146307,0.27450943653379484,0.16577887152703777,0.0013262298988225584
2023-01-01,AT,9855949.242351037,2,150.79838428373233,131.21736053146307,0.27450943653379484,0.16577887152703777,0.0013262298988225584
2023-02-01,AT,11193229.162245806,3,150.79838428373233,131.21736053146307,0.27450943653379484,0.16577887152703777,0.0013262298988225584
2023-03-01,AT,8794284.02963747,4,150.79838428373233,131.21736053146307,0.27450943653379484,0.16577887152703777,0.0013262298988225584
2022-12-01,BE,2411551.1832105396,1,98.328198980059625,63.278457803975364,0.2509540669558776,0.14960149377736673,0.002234731145118503
2023-01-01,BE,1815068.49599127,2,98.328198980059625,63.278457803975364,0.2509540669558776,0.14960149377736673,0.002234731145118503
2023-02-01,BE,2206217.2536846595,3,98.328198980059625,63.278457803975364,0.2509540669558776,0.14960149377736673,0.002234731145118503
2023-03-01,BE,2339824.8540109224,4,98.328198980059625,63.278457803975364,0.2509540669558776,0.14960149377736673,0.002234731145118503
2022-11-01,CY,775523.4358981623,1,-200.34587834189162,-217.9532258606971,0.15078335455138475,0.095676959712355375,0.0015485390243297188
2022-12-01,CY,400419.4413609018,2,-200.34587834189162,-217.9532258606971,0.15078335455138475,0.095676959712355375,0.0015485390243297188
2023-01-01,CY,262227.11886165093,3,-200.34587834189162,-217.9532258606971,0.15078335455138475,0.095676959712355375,0.0015485390243297188
2023-02-01,CY,242354.58435402613,4,-200.34587834189162,-217.9532258606971,0.15078335455138475,0.095676959712355375,0.0015485390243297188
2022-12-01,CZ,2522132.214947053,1,-37.43836761883067,-64.62398907776101,0.1956503420398527,0.1273847694711728,0.008280146466962561
2023-01-01,CZ,2486640.3360887337,2,-37.43836761883067,-64.62398907776101,0.1956503420398527,0.1273847694711728,0.008280146466962561
2023-02-01,CZ,3172349.624869471,3,-37.43836761883067,-64.62398907776101,0.1956503420398527,0.1273847694711728,0.008280146466962561
2023-03-01,CZ,2776275.1649763184,4,-37.43836761883067,-64.62398907776101,0.1956503420398527,0.1273847694711728,0.008280146466962561
2022-12-01,DE,22725374.44872415,1,-65.33312173676765,-100.3828629128519,0.20025032296468223,0.11597184956267646,0.009779844715419686
2023-01-01,DE,20149070.13946424,2,-65.33312173676765,-100.3828629128519,0.20025032296468223,0.11597184956267646,0.009779844715419686
2023-02-01,DE,21897661.54972429,3,-65.33312173676765,-100.3828629128519,0.20025032296468223,0.11597184956267646,0.009779844715419686
2023-03-01,DE,24598131.455828715,4,-65.33312173676765,-100.3828629128519,0.20025032296468223,0.11597184956267646,0.009779844715419686
2022-12-01,DK,1305146.2643068545,1,-110.42531978286999,-138.04670327804035,0.1477982586451527,0.09637144687456045,0.017470890473078676
2023-01-01,DK,1247824.0329367367,2,-110.42531978286999,-138.04670327804035,0.1477982586451527,0.09637144687456045,0.017470890473078676
2023-02-01,DK,1415965.0616899186,3,-110.42531978286999,-138.04670327804035,0.1477982586451527,0.09637144687456045,0.017470890473078676
2023-03-01,DK,1677096.8802191091,4,-110.42531978286999,-138.04670327804035,0.1477982586451527,0.09637144687456045,0.017470890473078676
2022-12-01,GR,1315819.7274375865,1,-371.88679394182367,-394.51547957179844,0.12813215132148115,0.07507349276414564,2.7982386908757497e-4
2023-01-01,GR,742808.3068242259,2,-371.88679394182367,-394.51547957179844,0.12813215132148115,0.07507349276414564,2.7982386908757497e-4
2023-02-01,GR,722019.7484803349,3,-371.88679394182367,-394.51547957179844,0.12813215132148115,0.07507349276414564,2.7982386908757497e-4
