date,country_code,yhat
2023-01-01,AT,10370366.4
2023-01-01,BE,2474296
2023-01-01,CY,285178.6
2023-01-01,CZ,2730327.1
2023-01-01,DE,25540295.2
2023-01-01,DK,1513389.3
2023-01-01,ES,23906456.9
2023-01-01,FI,1534345.1
2023-01-01,FR,20369890.8
2023-01-01,GR,1905306.9
2023-01-01,HR,3998503.1
2023-01-01,HU,1402003.4
2023-01-01,IT,12720338.3
2023-01-01,LT,535280.6
2023-01-01,LU,86249.7
2023-01-01,LV,220426.9
2023-01-01,MT,455132.6
2023-01-01,NL,9442985.3
2023-01-01,PL,5813774.9
2023-01-01,PT,4098831.6
2023-01-01,RO,1962204.7
2023-01-01,SE,3150874.8
2023-01-01,SI,706169.8
2023-01-01,SK,1120835.6
