date,country_code,yhat
2023-04-01,AT,8664620.7
2023-04-01,BE,2915733.3
2023-04-01,CY,1232284.5
2023-04-01,CZ,4286564.4
2023-04-01,DE,36910986.2
2023-04-01,DK,2220603.3
2023-04-01,ES,36799558.7
2023-04-01,FI,1564127.9
2023-04-01,FR,24187279.1
2023-04-01,GR,7098482.2
2023-04-01,HR,3016254.4
2023-04-01,HU,1787217.8
2023-04-01,IT,26264535
2023-04-01,LT,485122.3
2023-04-01,LU,180334.1
2023-04-01,LV,316488.3
2023-04-01,MT,735601.6
2023-04-01,NL,9985168.5
2023-04-01,PL,4879715.7
2023-04-01,PT,5700810.5
2023-04-01,RO,1921272.9
2023-04-01,SE,3856377.9
2023-04-01,SI,910436.7
2023-04-01,SK,973069.6
