date,country_code,yhat
2023-02-01,AT,12045677.1
2023-02-01,BE,2964870.9
2023-02-01,CY,415010.2
2023-02-01,CZ,3397920.9
2023-02-01,DE,28071420.2
2023-02-01,DK,1834062.1
2023-02-01,ES,24708828.5
2023-02-01,FI,1673981.9
2023-02-01,FR,22262537.3
2023-02-01,GR,2499871.1
2023-02-01,HR,1473122.6
2023-02-01,HU,1452199.2
2023-02-01,IT,17762831.7
2023-02-01,LT,520911.6
2023-02-01,LU,147590.1
2023-02-01,LV,310102.9
2023-02-01,MT,493203.7
2023-02-01,NL,9180182
2023-02-01,PL,6221219.8
2023-02-01,PT,4460838.9
2023-02-01,RO,2335848.1
2023-02-01,SE,3157095.9
2023-02-01,SI,794255.4
2023-02-01,SK,1167647.2
