COMPANY,TYPE,SRC,REFYEAR
BRIDGESTONE CORPORATION,FIN_REP,https://companiesmarketcap.com/annual-reports/11321.ar.en.2024.pdf,2024
BRIDGESTONE CORPORATION,OTHER,https://companiesmarketcap.com/annual-reports/11321.ar.en.2023.pdf,2023
BRIDGESTONE CORPORATION,OTHER,https://companiesmarketcap.com/annual-reports/11321.ar.en.2022.pdf,2022
BRIDGESTONE CORPORATION,OTHER,https://sustainabilityreports.com/reports/bridgestone-corporation-2024-integrated-report-pdf/#unlock,2024
BRIDGESTONE CORPORATION,OTHER,https://companiesmarketcap.com/annual-reports/11321.ar.en.2020.pdf,2020
BRIDGESTONE CORPORATION,OTHER,https://content.presspage.com/uploads/3167/e8c8cafd-9961-4c84-bf42-a5f8c851db4b/annualreport2024.pdf?10000/annual-report-2025.pdf,2024
FERRERO,FIN_REP,,
SUMITOMO CORPORATION,FIN_REP,https://www.sumitomocorp.com/en/europe/sitecore/content/HQ/Home/ir/financial/investors-guide/2022#LNav02,2022
COMPAGNIE DE SAINT GOBAIN,FIN_REP,https://www.annualreports.com/HostedData/AnnualReportArchive/s/saint-gobain_2022.pdf,2022
COMPAGNIE DE SAINT GOBAIN,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/s/saint-gobain_2021.pdf,2021
COMPAGNIE DE SAINT GOBAIN,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/s/saint-gobain_2020.pdf,2020
COMPAGNIE DE SAINT GOBAIN,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/s/saint-gobain_2011.pdf,2011
COMPAGNIE DE SAINT GOBAIN,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/s/saint-gobain_2010.pdf,2010
COMPAGNIE DE SAINT GOBAIN,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/s/saint-gobain_2009.pdf,2009
ABBOTT LABORATORIES,FIN_REP,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NYSE_ABT_2023.pdf,2023
ABBOTT LABORATORIES,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NYSE_ABT_2022.pdf,2022
ABBOTT LABORATORIES,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NYSE_ABT_2021.pdf,2021
ABBOTT LABORATORIES,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NYSE_ABT_2020.pdf,2020
ABBOTT LABORATORIES,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NYSE_ABT_2019.pdf,2019
ABBOTT LABORATORIES,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NYSE_ABT_2018.pdf,2018
