COMPANY,TYPE,SRC,REFYEAR
DIOR,FIN_REP,https://companiesmarketcap.com/annual-reports/17850.ar.en.2023.pdf,2023
DIOR,OTHER,https://companiesmarketcap.com/annual-reports/17850.ar.en.2022.pdf,2022
DIOR,OTHER,https://companiesmarketcap.com/annual-reports/17850.ar.en.2021.pdf,2021
DIOR,OTHER,https://companiesmarketcap.com/annual-reports/17850.ar.en.2020.pdf,2020
DIOR,OTHER,https://companiesmarketcap.com/annual-reports/17850.ar.en.2019.pdf,2019
DIOR,OTHER,https://companiesmarketcap.com/annual-reports/17850.ar.en.2018.pdf,2018
AMAZON,FIN_REP,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NASDAQ_AMZN_2023.pdf,2023
AMAZON,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NASDAQ_AMZN_2022.pdf,2022
AMAZON,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NASDAQ_AMZN_2021.pdf,2021
AMAZON,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NASDAQ_AMZN_2020.pdf,2020
AMAZON,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NASDAQ_AMZN_2019.pdf,2019
AMAZON,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/NASDAQ_AMZN_2018.pdf,2018
SONY GROUP CORPORATION,FIN_REP,https://content.presspage.com/uploads/3167/e8c8cafd-9961-4c84-bf42-a5f8c851db4b/annualreport2024.pdf?10000/annual-report-2025.pdf,2024
SONY GROUP CORPORATION,OTHER,https://content.presspage.com/uploads/3167/e8c8cafd-9961-4c84-bf42-a5f8c851db4b/annualreport2024.pdf?10000/annual-report-2024.pdf,2024
SONY GROUP CORPORATION,OTHER,https://content.presspage.com/uploads/3167/e8c8cafd-9961-4c84-bf42-a5f8c851db4b/annualreport2024.pdf?10000/annual_report_2025.pdf,2024
SONY GROUP CORPORATION,OTHER,https://content.presspage.com/uploads/3167/e8c8cafd-9961-4c84-bf42-a5f8c851db4b/annualreport2024.pdf?10000/annual_report_2024.pdf,2024
SONY GROUP CORPORATION,OTHER,https://content.presspage.com/uploads/3167/e8c8cafd-9961-4c84-bf42-a5f8c851db4b/annualreport2024.pdf?10000/financial-report-2025.pdf,2024
SONY GROUP CORPORATION,OTHER,https://content.presspage.com/uploads/3167/e8c8cafd-9961-4c84-bf42-a5f8c851db4b/annualreport2024.pdf?10000/financial-report-2024.pdf,2024
SONOVA,FIN_REP,https://report.sonova.com/2025/en/annual-report-2025.pdf,2025
SONOVA,OTHER,https://report.sonova.com/2025/en/annual-report-2024.pdf,2025
SONOVA,OTHER,https://report.sonova.com/2025/en/annual_report_2025.pdf,2025
SONOVA,OTHER,https://report.sonova.com/2025/en/annual_report_2024.pdf,2025
SONOVA,OTHER,https://report.sonova.com/2025/en/financial-report-2025.pdf,2025
SONOVA,OTHER,https://report.sonova.com/2025/en/financial-report-2024.pdf,2025
IKEA,FIN_REP,https://www.annualreports.com/HostedData/AnnualReportArchive/i/ikea_2023.pdf,2023
IKEA,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/i/ikea_2022.pdf,2022
IKEA,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/i/ikea_2021.pdf,2021
IKEA,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/i/ikea_2020.pdf,2020
IKEA,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/i/ikea_2019.pdf,2019
IKEA,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/i/ikea_2018.pdf,2018
