COMPANY,TYPE,SRC,REFYEAR
BP P.L.C.,FIN_REP,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/investors/bp-annual-report-and-form-20f-financial-statements-2024.pdf,2024
BP P.L.C.,OTHER,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/investors/bp-annual-report-and-form-20f-2024.pdf,2024
ENGIE,FIN_REP,https://www.annualreports.com/HostedData/AnnualReportArchive/e/engie_2023.pdf,2023
ENGIE,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/e/engie_2022.pdf,2022
ENGIE,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/e/engie_2021.pdf,2021
ENGIE,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/e/engie_2020.pdf,2020
ENGIE,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/e/engie_2019.pdf,2019
ENGIE,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/e/engie_2018.pdf,2018
DENTSU GROUP INC.,FIN_REP,https://www.group.dentsu.com/en/sustainability/common/pdf/integrated-report2018_49.pdf,2018
THYSSENKRUPP,FIN_REP,https://www.thyssenkrupp.com/_binary/UCPthyssenkruppAG/0beedfca-2fd9-449f-bc7d-7c04374d73de/thyssenkrupp-GB_2023-2024_EN_WEB.pdf,2023
VOESTALPINE GROUP,FIN_REP,https://reports.voestalpine.com/2223/ar/_assets/downloads/entire-va-ar2223.pdf,2022
