country_code,transform,date,yhat
AT,sqrt,2023-03-01,9878501.103222763
BE,sqrt,2023-03-01,2198290.95000815
CY,std,2023-03-01,363648.91563686007
CZ,std,2023-03-01,2934812.75379093
DE,std,2023-03-01,24141722.02569009
DK,std,2023-03-01,1858376.636605075
ES,sqrt,2023-03-01,26784630.81365608
FI,std,2023-03-01,1887318.5011592144
FR,std,2023-03-01,22487319.551382303
GR,sqrt,2023-03-01,1983055.5922083368
HR,sqrt,2023-03-01,722529.8329828747
HU,std,2023-03-01,1601782.313675175
IT,sqrt,2023-03-01,15310736.596912593
LT,sqrt,2023-03-01,418727.8077962036
LU,sqrt,2023-03-01,116416.46354062612
LV,std,2023-03-01,217228.52103652048
MT,std,2023-03-01,538296.9346582766
NL,sqrt,2023-03-01,6942347.001274902
PL,sqrt,2023-03-01,4812045.099048596
PT,sqrt,2023-03-01,4240176.370577818
RO,sqrt,2023-03-01,1173832.694167296
SE,std,2023-03-01,3816773.0691179154
SI,sqrt,2023-03-01,645724.3632422028
SK,std,2023-03-01,651958.0402638963
