month_end,country_code,yhat,bic,aicc,rmse,mae,acf
2022-07-01,AT,20953836.996012192,5062.150611955515,5038.767661876137,180.39207313667006,112.33569124726542,0.008269278936784488
2022-08-01,AT,22971467.33343235,5062.150611955515,5038.767661876137,180.39207313667006,112.33569124726542,0.008269278936784488
2022-09-01,AT,13307045.1704932,5062.150611955515,5038.767661876137,180.39207313667006,112.33569124726542,0.008269278936784488
2022-10-01,AT,8412793.298502736,5062.150611955515,5038.767661876137,180.39207313667006,112.33569124726542,0.008269278936784488
2022-08-01,BE,5629491.097047555,4681.3261134606555,4642.548577496788,104.40864888558008,63.81593060543662,0.003351868901082261
2022-09-01,BE,3528641.223396451,4681.3261134606555,4642.548577496788,104.40864888558008,63.81593060543662,0.003351868901082261
2022-10-01,BE,3387090.8717392352,4681.3261134606555,4642.548577496788,104.40864888558008,63.81593060543662,0.003351868901082261
2022-11-01,BE,2533939.695138373,4681.3261134606555,4642.548577496788,104.40864888558008,63.81593060543662,0.003351868901082261
2022-07-01,CY,2330478.4868731145,2943.0292243020735,2908.390316711967,62.02074997474987,37.30603753085604,-0.01710913132470671
2022-08-01,CY,2660903.7072391603,2943.0292243020735,2908.390316711967,62.02074997474987,37.30603753085604,-0.01710913132470671
2022-09-01,CY,2087709.37249827,2943.0292243020735,2908.390316711967,62.02074997474987,37.30603753085604,-0.01710913132470671
2022-10-01,CY,1829234.051052251,2943.0292243020735,2908.390316711967,62.02074997474987,37.30603753085604,-0.01710913132470671
2022-08-01,CZ,14653110.705784291,2930.6406262661926,2910.2515342339593,109.76349799284101,63.531636738730036,0.020091355771156887
2022-09-01,CZ,9195813.130053299,2930.6406262661926,2910.2515342339593,109.76349799284101,63.531636738730036,0.020091355771156887
2022-10-01,CZ,5826977.146182885,2930.6406262661926,2910.2515342339593,109.76349799284101,63.531636738730036,0.020091355771156887
2022-11-01,CZ,4193792.493878274,2930.6406262661926,2910.2515342339593,109.76349799284101,63.531636738730036,0.020091355771156887
2022-08-01,DE,52514906.42330314,5302.488644118568,5282.961821002003,244.6820039763406,137.79734516365878,0.007737307560241884
2022-09-01,DE,41112093.798958145,5302.488644118568,5282.961821002003,244.6820039763406,137.79734516365878,0.007737307560241884
2022-10-01,DE,36822834.21389285,5302.488644118568,5282.961821002003,244.6820039763406,137.79734516365878,0.007737307560241884
2022-11-01,DE,21558016.562645458,5302.488644118568,5282.961821002003,244.6820039763406,137.79734516365878,0.007737307560241884
2022-08-01,DK,5419438.176136031,2128.3136482078116,2103.8628302959414,89.36850194793982,57.220876764642306,0.003805175815086628
2022-09-01,DK,3142556.9265127545,2128.3136482078116,2103.8628302959414,89.36850194793982,57.220876764642306,0.003805175815086628
2022-10-01,DK,2631046.967858123,2128.3136482078116,2103.8628302959414,89.36850194793982,57.220876764642306,0.003805175815086628
2022-11-01,DK,1931276.1712594305,2128.3136482078116,2103.8628302959414,89.36850194793982,57.220876764642306,0.003805175815086628
2022-08-01,GR,28279220.245718304,4381.264296018369,4358.710845025366,166.59898196608287,92.74324459264304,0.01042833105559163
2022-09-01,GR,19526669.639014915,4381.264296018369,4358.710845025366,166.59898196608287,92.74324459264304,0.01042833105559163
2022-10-01,GR,10059237.254567152,4381.264296018369,4358.710845025366,166.59898196608287,92.74324459264304,0.01042833105559163
2022-11-01,GR,2305744.06375108,4381.264296018369,4358.710845025366,166.59898196608287,92.74324459264304,0.01042833105559163
2022-08-01,ES,72945685.0868098,5401.296050256216,5370.184949804746,272.43668862112673,136.6936245329442,-0.004312206328910219
2022-09-01,ES,49528553.704009466,5401.296050256216,5370.184949804746,272.43668862112673,136.6936245329442,-0.004312206328910219
2022-10-01,ES,39273073.60723904,5401.296050256216,5370.184949804746,272.43668862112673,136.6936245329442,-0.004312206328910219
2022-11-01,ES,25553593.721037623,5401.296050256216,5370.184949804746,272.43668862112673,136.6936245329442,-0.004312206328910219
2022-08-01,FI,2124429.4972050823,4029.9622495450362,4006.5628387661545,45.84932153143747,25.64096793405448,0.0076570355102079405
2022-09-01,FI,1632722.9864178249,4029.9622495450362,4006.5628387661545,45.84932153143747,25.64096793405448,0.0076570355102079405
2022-10-01,FI,1589985.0722297214,4029.9622495450362,4006.5628387661545,45.84932153143747,25.64096793405448,0.0076570355102079405
2022-11-01,FI,1394533.8078766875,4029.9622495450362,4006.5628387661545,45.84932153143747,25.64096793405448,0.0076570355102079405
2022-08-01,FR,46528300.692610666,2121.6205177884744,2104.650037826054,418.4138288498526,224.04952939756635,8.386092790043976e-4
2022-09-01,FR,17720285.573011067,2121.6205177884744,2104.650037826054,418.4138288498526,224.04952939756635,8.386092790043976e-4
2022-10-01,FR,13783682.528445894,2121.6205177884744,2104.650037826054,418.4138288498526,224.04952939756635,8.386092790043976e-4
2022-11-01,FR,10129728.847940873,2121.6205177884744,2104.650037826054,418.4138288498526,224.04952939756635,8.386092790043976e-4
2022-08-01,HR,27912070.783564076,2945.345499533917,2925.291357794045,159.8907742284154,96.03729940678947,-0.001350863114484773
2022-09-01,HR,9387269.277980797,2945.345499533917,2925.291357794045,159.8907742284154,96.03729940678947,-0.001350863114484773
